date,/g/11bytn80mf,/m/01j6t0,/m/0ddwt,/m/029ggh,/m/0j5fv,/m/02656gy,/m/06gx48m,/m/0dl9s3k,/m/013677,/m/02bft,/m/0cnmb,/m/0k_9,/m/0m7pl,/m/01cdt5,/m/033mg5,/g/11qm6vy88k,/m/03l19k,/m/079p0q,/m/02np4v,/m/05sfr2,/m/03x69g,/m/04c_jpd
2020-02-14,54.75162216346662,85.43041681197113,69.14333229225652,85.52475977207779,86.02627223653658,76.27864891281624,95.98247874167782,79.609547191115,79.87995742030185,77.70003327830545,66.24203105577712,81.44155902285668,39.66579347696499,79.24184491000194,85.10902707015738,40.12182122591067,25.547658580443702,75.73065737643246,87.53268726407073,41.19423095472466,78.07561131232406,62.0
2020-02-15,55.043388243414654,88.97567545198486,69.53866516675612,93.56409091200504,87.47252970807224,88.53511203938666,84.86909821981062,83.93457716368083,81.40789623764196,76.79444069284962,60.737060569158764,74.23577042908185,75.29229494089871,77.21653757945796,89.16678724263161,97.85714285714285,29.458736762924083,87.26838126666357,88.51899300641752,48.08914461463457,63.28520670792881,53.0
2020-02-16,94.8181755678412,85.82215139806054,72.81434296588746,92.52846309252847,99.460363698624,106.65187941969197,97.35399128879827,92.39181607085814,84.80019033899057,89.47580788842927,72.80736879255878,90.35355787710287,75.69916261735938,86.36249084491507,93.18871280979756,80.48626442102264,6.873705244682286,80.6417107893147,94.84379067349863,9.489451010475896,80.15328491737985,67.0
2020-02-17,63.86239066132846,102.08723817704274,80.98409771757855,96.14272784385751,94.35068094316854,92.95207285558917,90.95636916638102,88.30709220187575,90.45933676779838,92.86976863186192,83.96330715766356,102.59144393003182,93.7425828320672,91.32892511564543,95.47668802225334,94.49928999558695,16.880113490621007,80.35780282626172,94.86962312870536,54.75184848290607,84.33431279064415,78.0
2020-02-18,59.68480991954616,96.51045073370909,79.36718231585442,93.58178524606271,94.43812762281587,90.33517825992394,95.40194103186656,84.70567562850148,91.7187232676939,92.72329124781908,80.31806277817316,95.53385932052771,62.71809290785593,96.6137544828923,98.31176790945082,55.77573774213075,18.407518643814992,97.65749303732275,100.85484735003219,37.15212067020707,93.82901392088502,69.0
2020-02-19,90.90770362517998,101.74655473747075,77.71480493256466,100.5288698976889,91.25389809854029,89.55863386719464,87.0750571106114,88.38493348266286,94.76842001142681,90.90362882164692,76.5930570595947,99.58822821376516,73.39547337477036,94.51007124482953,100.81520090870151,40.63469469810238,20.32176476331453,83.99028129824391,103.96072098109666,56.47409734964307,91.71452733643373,82.0
2020-02-20,49.326205233505426,94.29767404012136,76.03972131216575,91.24227273583224,87.26084935849178,83.1443367847763,89.21404140096577,80.00251532798039,89.84341666080304,92.97710677328264,76.68644263781003,93.58627918119524,95.30092903198248,87.36949603863476,92.90434357336754,0.0,12.983617328442309,82.31584986651472,97.52471086166227,56.45633062352755,92.76045720959726,66.0
2020-02-21,24.070265274548138,89.20387559876951,69.49996660310623,94.37396862809285,84.28591665809594,102.11002127321777,72.57765324790982,77.17536722570857,86.84323025206591,84.29482170707722,73.88778553631064,91.32274109519999,58.01866432321944,80.26678274933955,95.46204463566163,0.0,20.818474262452597,83.25260979430867,92.52614758356198,35.29759777708899,85.40678327327271,70.0
2020-02-22,70.75359994871576,88.70647427963979,67.01791794962926,88.94317457514806,96.42242654865383,82.75646789270445,60.816822634724204,80.18914982798509,82.22200880590704,68.49999504375697,56.680262555251595,80.11413052843452,103.26941527978279,86.28860295994228,89.38063079906901,40.3064117135983,14.675106616290638,80.45604863278926,95.80759738282005,46.851927634479765,63.2485903419288,86.0
2020-02-23,76.47679107268974,97.12200047570947,71.06716332182692,97.20121932394171,94.33675593029342,93.36451742773893,82.78629155892736,92.09581296610406,92.53687408427581,91.65103552658726,63.19114622889703,90.17860169919531,74.31056282709915,91.08401658799966,93.42272277028492,99.1988294514611,20.528904593621426,88.28362482327115,99.64200347393472,46.7218494197448,72.73728783328204,99.07239577232325
2020-02-24,90.13254186742215,92.65242962935491,81.9560695471777,100.13886342441364,98.40251364340787,89.12173882060554,106.57322638655984,86.00649610848433,91.31006311572267,94.79868065109358,86.96556521659974,101.31563376214923,97.24209719785853,101.97879542314892,94.5881577618037,72.91648858084439,27.349439676905778,88.47549972197675,107.37582650032668,54.51891844813169,98.05640025173996,111.37104256997885
2020-02-25,76.69024545227197,101.36382466805769,80.01222838124872,98.23356043894887,94.15819601834075,106.34820513306735,82.76712435355903,81.16171322487739,92.63855256542466,99.19162009130454,79.11009074865719,97.44639257122537,90.54966397523789,104.01698153859383,89.77805144841281,60.11380810352991,26.35026947323626,90.50407541386602,103.9632872277063,41.696531699505634,90.70476250141405,100.22128484936894
2020-02-26,92.17516087840946,91.9150873058196,79.5426600542304,93.22718275245849,92.32832737244948,67.99335503780115,95.7743484969101,83.06111346584933,89.84898445035581,92.25294299403936,78.3412569761999,98.51365413052716,105.82271308148864,109.96446708201908,85.85797014575645,36.06828486211795,26.142836515981323,86.46455065752839,102.12521657104098,41.27697797181774,90.69827674659442,104.68381845213482
2020-02-27,61.93277639176887,93.86545379398211,78.38126178445471,91.2979446174109,88.21611866875205,76.48342697717892,100.05454183775727,76.38070030382129,88.41997193482267,86.06879563600496,63.56656460040132,89.48639522192121,153.64175359022622,113.65168721269961,90.0122482962321,53.028539825783916,30.88035018596189,81.64205970101713,101.08541779714271,27.291089841578767,92.81382328398477,106.91986470519632
