date,Aching Muscle Pain,Fatigue,Insomnia,Palpitations,Headache,Clouding of consciousness,Chest Tightness,Hip pain,Myalgia,Major depressive disorder,Sleep disorder,Anxiety,Anosmia,Shortness of breath,Dizziness,Long Covid,Lightheadedness,Chest pain,Ageusia,Mental health,Hypochondriasis
13/3/2020,99.86800206,89.48768251,63.67113377,79.14475422,106.4790244,49.25586672,224.438191,62.8236853,95.14398883,68.29065557,56.01262573,87.51832124,136.4796076,214.5948006,84.55152592,333.0751055,78.88213531,133.4312023,85.67572297,71.01026346,193.0548723
14/3/2020,97.34488081,92.56439432,65.36286884,87.14592379,112.513031,60.84794315,233.9798658,63.76398491,105.1266444,67.474694,63.95703174,79.3401688,167.3883736,231.5605625,90.57336118,423.8104732,87.65629163,135.8662761,153.5602711,55.00633039,142.8422343
15/3/2020,63.67520807,90.71087609,64.50685844,86.22733276,116.0825064,66.91205021,243.0310469,69.65666876,109.4931533,69.50203091,61.72982468,83.12146017,219.4591879,240.0895641,90.09583405,554.8476596,81.65139862,141.7791936,167.8533613,58.99749408,154.531018
16/3/2020,89.53214768,88.97042864,59.51924406,84.31721772,110.6648105,51.03731062,262.4268465,57.90976873,99.66395569,65.92810398,58.13584637,89.27688367,231.5073345,196.5135881,93.3558207,786.2112775,83.5604805,150.9284939,171.5487899,81.99078149,175.835427
17/3/2020,82.53705709,93.14098662,60.77536036,85.40721166,123.8198817,54.26151652,294.045005,58.64371816,99.76464333,60.95737203,52.60429139,88.39380667,264.26481,246.2188802,88.02628195,838.9481738,74.88795989,160.6495915,300.6414963,78.97957252,181.572635
18/3/2020,81.67271491,87.91655952,65.68751277,85.4708165,121.3280556,62.66503514,338.1004315,65.09637683,98.68255243,70.82389372,44.78667186,88.5217758,398.9485592,249.5651586,80.46132075,632.1083851,85.44173344,154.2428946,304.1214879,78.98397515,171.9620583
19/3/2020,72.05615198,92.23931014,64.07754088,89.81158772,118.8687063,56.2900219,327.1414816,57.73115979,104.1810824,67.98752286,49.19311082,90.2235742,465.1491873,262.0052104,89.22061586,920.689404,89.95964192,163.8379711,421.1295281,72.99275325,160.3091639
20/3/2020,66.4343508,84.04222271,61.62340094,76.7965951,116.9487019,59.35413443,359.0593823,60.47271618,103.7300018,68.82444884,41.24721741,91.29077112,818.6742614,266.5502744,85.29641143,774.7074682,77.31914649,175.3491123,528.0826643,67.99926386,168.0046408
21/3/2020,78.81236451,92.13000327,69.88085536,85.91909426,125.4947646,59.1518739,353.9077776,72.40744856,112.3578958,63.96717379,45.65069354,94.26136818,1595.655408,272.6364567,94.17852062,1132.442066,70.11034394,172.0782644,970.7511561,62.98852584,146.726421
22/3/2020,62.9953075,92.46842711,69.09667819,89.69879048,121.958023,44.91178811,340.5375179,71.7575167,103.7698792,72.08814426,51.11557511,96.57478695,1967.221665,261.0882077,91.26959891,988.9862998,80.70562469,180.1165339,1112.293009,62.97923782,150.6419632
23/3/2020,78.33276634,88.00362502,73.20461255,85.86769847,117.6727099,64.42088668,359.6134285,60.7943914,101.0696917,65.39166324,46.46808901,99.47295697,2875.499638,272.0690491,104.4112336,1089.46565,76.28725621,184.7465915,1452.591805,79.982976,148.6796118
24/3/2020,84.60192583,90.68301121,77.7216015,90.43706811,118.2015413,61.64534007,345.3786974,71.23954811,107.714999,69.86025756,59.21383627,101.4813562,2131.405067,294.6776587,93.64369697,911.0429001,82.42826085,177.5011976,1067.595404,80.98048273,142.9152144
25/3/2020,61.23229046,94.78678289,80.35824762,93.10055281,120.0361149,66.5846766,316.080305,62.6722391,123.723808,63.39008502,55.65561598,99.67789809,1557.938347,278.0638165,90.61433737,914.4523895,83.73307458,175.4175314,1004.673552,84.95501569,141.7259258
26/3/2020,58.57067524,96.14979588,80.99983731,93.51858967,117.3674289,129.6322508,314.1395699,60.78897374,111.4593719,66.2043331,71.88148494,104.7621207,1388.939855,260.2714177,92.15759848,872.3642929,95.01353518,175.8315395,820.4210956,80.20839365,144.7944839
27/3/2020,96.18674695,85.52538025,81.1173897,93.34522091,116.9299246,115.2281037,310.5585894,70.76157716,101.4928558,68.02061834,56.59321122,96.35146349,1130.116672,248.3412863,95.9174519,794.7650908,88.36527501,172.9091622,697.8893944,79.87792369,126.6473355
